enhanced_file_021125,contrib_note,amount,date_month,date_day,date_year,donor_type,donor_type_detail,pac_pafiler_id,pac_fec_id,pa_entity_no,olms_filer_num,ein,lob_reg,attorney_id,contributor_name_org,stand_contributor_name_org,contributor_name_ind,contributor_name_first,contributor_name_second,contributor_name_last,contributor_name_suffix,joint_contributor_name_first,joint_contributor_name_second,joint_contributor_name_last,joint_contributor_name_suffix,contributor_address_as_submitted,contributor_address_street_num,contributor_address_pre_directional,contributor_address_street_name,contributor_address_street_suffix,contributor_address_post_directional,contributor_address_secondary,contributor_address_po_box_num,contributor_address_city,contributor_address_state,contributor_address_zip_code,contributor_address_zip4,occupation,occupation_standardized,c_suite,employer_name,employer_address_street_num,employer_address_pre_directional,employer_address_street_name,employer_address_street_suffix,employer_address_post_directional,employer_address_secondary_info,employer_address_po_box_num,employer_address_city,employer_address_state,employer_address_zip_code,source_file_name,source_pg_num,schedule,part,created_at,updated_at,report_id
012925_orgcontribs_enhanced_batch041924.csv,,500,5,3,2021,PAC,CPC,20120004,,,,,,,CITIZENS FOR JORDAN HARRIS,CITIZENS FOR JORDAN HARRIS,,,,,,,,,,P.O. BOX 32067,,,,,,,P.O. BOX 32067,PHILADELPHIA,PA,19146,,,,,,,,,,,,,,,,2021_502_cycle2_Family&FriendsofJanetDiaz.pdf,8,1,C,2024-04-25 18:54:11,2024-04-25 18:54:11,0733474c-1e56-4eaf-9854-f08a2c82d995
012925_orgcontribs_enhanced_batch041924.csv,,200,10,19,2021,PAC,CPC,,,,,,,,COMM TO ELECT SAM,COMMITTEE TO ELECT SAM,,,,,,,,,,P.O. BOX 502,,,,,,,P.O. BOX 502,LITITZ,PA,17543,,,,,,,,,,,,,,,,2021_502_cycle6_HempfieldVictoryFund.pdf,6,1,A,2024-04-25 18:54:11,2024-04-25 18:54:11,ab5fa07e-14e7-4ec5-9062-5d47df172aa9
012925_orgcontribs_enhanced_batch041924.csv,,100,10,19,2021,PAC,CPC,,,,,,,,COMMITTEE TO ELECT SAM,COMMITTEE TO ELECT SAM,,,,,,,,,,PO BOX 502,,,,,,,PO BOX 502,LITITZ,PA,17543,,,,,,,,,,,,,,,,2021_502_cycle6_FriendsofSarahZahn.pdf,3,1,A,2024-04-25 18:54:11,2024-04-25 18:54:11,fbac6685-216f-4ae7-b470-29ca0c11ed26
012925_orgcontribs_enhanced_batch041924.csv,,705,11,30,2023,PAC,CPC,,,,,,,,COMMITTEE TO ELECT SHAWN MCLAUGHLIN,COMMITTEE TO ELECT SHAWN MCLAUGHLIN,,,,,,,,,,2260 ERIN COURT,2260,,ERIN,COURT,,,,LANCASTER,PA,17601,,,,,,,,,,,,,,,,Scan2024-02-01_104208.pdf,5,1,C,2024-04-25 18:54:11,2024-04-25 18:54:11,a0ab690d-5e95-4eeb-86c1-90993795e273
012925_orgcontribs_enhanced_batch041924.csv,,705,11,30,2023,PAC,CPC,,,,,,,,COMMITTEE TO ELECT SHAWN MCLAUGHLIN,COMMITTEE TO ELECT SHAWN MCLAUGHLIN,,,,,,,,,,2260 ERIN COURT,2260,,ERIN,COURT,,,,LANCASTER,PA,17601,,,,,,,,,,,,,,,,Scan2024-02-01_104018.pdf,5,1,C,2024-04-25 18:54:11,2024-04-25 18:54:11,3999c811-2672-4173-a75a-bc2cbeb98162
012925_orgcontribs_enhanced_batch041924.csv,ADDRESS IS LOBBYING FIRM NOVAK STRATEGIC ADVISORS,2500,9,29,2021,PAC,CORP,,,,,,,,CPA PAC,CPA PAC,,,,,,,,,,500 N THIRD STREET SUITE 600A,500,N,THIRD,STREET,,SUITE 600A,,HARRISBURG,PA,17101,,,,,,,,,,,,,,,,2021_502_cycle7_FriendsofDaveHickernell.pdf,6,1,C,2024-04-25 18:54:11,2024-04-25 18:54:11,2b85ee91-a26e-4d49-b45a-f55c1320524a
012925_orgcontribs_enhanced_batch041924.csv,,24582.77,7,22,2020,PAC,CPC,20190372,,,,,,,CRAIG LEHMAN FOR PA SENATE 13,CRAIG LEHMAN FOR PA SENATE 13,,,,,,,,,,164 HUNTINGWOOD DRIVE,164,,HUNTINGWOOD,DRIVE,,,,LANCASTER,PA,17602,,,,,,,,,,,,,,,,2020_502_Cycle7_CraigLehmanPAC.pdf,4,1,C,2024-04-25 18:54:11,2024-04-25 18:54:11,0869220a-978d-4c83-a62d-29482f0fbf56
012925_orgcontribs_enhanced_batch041924.csv,,745,8,28,2020,PAC,CPC,20190372,,,,,,,CRAIG LEHMAN FOR PA SENATE 13,CRAIG LEHMAN FOR PA SENATE 13,,,,,,,,,,164 HUNTINGWOOD DRIVE,164,,HUNTINGWOOD,DRIVE,,,,LANCASTER,PA,17602,,,,,,,,,,,,,,,,2020_502_Cycle7_CraigLehmanPAC.pdf,4,1,C,2024-04-25 18:54:11,2024-04-25 18:54:11,7028d71a-b7fb-49d4-aca6-ef6ea870c224
012925_orgcontribs_enhanced_batch041924.csv,,4856,11,4,2023,PAC,OTHER,20230160,,,,,,,DEMOCRACY FIRST PAC,DEMOCRACY FIRST PAC,,,,,,,,,,611 PENNSYLVANIA AVE SE #143,611,,PENNSYLVANIA,AVE,SE,#143,,WASHINGTON,PA,20003,,,,,,,,,,,,,,,,2023_502_1104_HollisterforCommissioner.pdf,1,24-hour report,late_contrib,2024-04-25 18:54:11,2024-04-25 18:54:11,6ac8cd9f-1aaa-472c-b023-c1bba09afb07
012925_orgcontribs_enhanced_batch041924.csv,,173.43,12,11,2023,PAC,PLC,,,,,,,,DEMS FOR SCHOOL DIRECTOR LAN,DEMS FOR SCHOOL DIRECTOR LAN,,,,,,,,,,2051 RICE ROAD,2051,,RICE,ROAD,,,,LANCASTER,PA,17602,,,,,,,,,,,,,,,,Scan2024-02-01_104428.pdf,3,1,A,2024-04-25 18:54:11,2024-04-25 18:54:11,c3b0a6de-1d12-4c3b-9bec-790bf6091c4d
012925_orgcontribs_enhanced_batch041924.csv,,121.38,12,18,2023,PAC,CPC,,,,,,,,DERRICK HILL'S CAMPAIGN,DERRICK HILL'S CAMPAIGN,,,,,,,,,,25 W LEMON STREET,25,W,LEMON,STREET,,,,LITITZ,PA,17543,,,,,,,,,,,,,,,,Scan2024-02-01_104015.pdf,3,1,A,2024-04-25 18:54:11,2024-04-25 18:54:11,5aad7fc4-f794-484d-bee0-2caa688515c9
012925_orgcontribs_enhanced_batch041924.csv,,500,11,30,2023,IND,,,,,,,,,DILLIOM MCCANDLESS KING COULTER & GRAHAM LLP,DILLIOM MCCANDLESS KING COULTER & GRAHAM LLP,,,,,,,,,,128 W CUNNINGHAM ST,128,W,CUNNINGHAM,ST,,,,BUTLER,PA,16001,,,,,,,,,,,,,,,,Scan2024-02-01_095800.pdf,6,1,D,2024-04-25 18:54:11,2024-04-25 18:54:11,ef392d54-8a67-470c-8711-2e1056872298
012925_orgcontribs_enhanced_batch041924.csv,,500,10,12,2021,PAC,CORP,7900289,C00364133,3044869,,,,,DUANE MORRIS LLP GOVERNMENT COMMITTEE STATE/LOCAL FUND,DUANE MORRIS LLP GOVERNMENT COMM. STATE & LOCAL FUND,,,,,,,,,,30 S 17TH STREET,30,S,17TH,STREET,,,,PHILADELPHIA,PA,19103,,,,,,,,,,,,,,,,2021_502_cycle7_FriendsofDaveHickernell.pdf,6,1,C,2024-04-25 18:54:11,2024-04-25 18:54:11,0a26bd78-0aa9-41ae-8b34-f399df7701c2
012925_orgcontribs_enhanced_batch041924.csv,,500,11,12,2021,PAC,CORP,9700178,,2731852,,,,,ECKERT SEAMANS PA GOVT PAC,ECKERT SEAMANS PA GOVERNMENT PAC,,,,,,,,,,600 GRANT STREET,600,,GRANT,STREET,,,,PITTSBURGH,PA,15219,,,,,,,,,,,,,,,,2021_502_cycle7_FriendsofDaveHickernell.pdf,6,1,C,2024-04-25 18:54:11,2024-04-25 18:54:11,1b5b8bc0-543d-4bff-aa49-a91ccc6fc292
