candidate_name_full,office,governing_district,seat,election_type,date_month,date_day,date_year,party,campaign_position,campaign_fin_records_request,race_notes,scan_notes,cand_name_first,cand_name_middle,cand_name_last,cand_name_suffix,Office_orig_name,Link
CATHLEEN PANUS,TAX COLLECTOR,EAST PETERSBURG BOROUGH,2-YR,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,CATHLEEN,,PANUS,,TAX COLLECTOR EAST PETERSBURG -2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/136.html"
CELSO MESIAS,COMMISSIONER,MANHEIM TOWNSHIP,,Municipal Primary,5,16,2023,DEM,challenger,records scanned,,,CELSO,,MESIAS,,COMMISSIONER MANHEIM TOWNSHIP,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/365.html"
CHANDLER EBY,COUNCIL,EPHRATA BOROUGH,3RD WARD,Municipal Primary,5,16,2023,DEM,open_seat,requested and no records on file,,,CHANDLER,,EBY,,COUNCIL EPHRATA - 3RD WARD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/149.html"
CHARLES F GRIMASUCKAS,COUNCIL,QUARRYVILLE,,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,,,CHARLES,F,GRIMASUCKAS,,COUNCIL QUARRYVILLE,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/190.html"
CHERYL DESMOND,SCHOOL DIRECTOR,SCHOOL DISTRICT OF LANCASTER,,Municipal Primary,5,16,2023,DEM,challenger,records scanned,"- Five four-year seats are available 
- Five spots for each party 
- Robin Goodson, Kareena Rios and Molly Henderson are incumbents
- Goodson, Rios, Henderson, Holmes and Desmond are endorsed by the Democratic Party 
- Molly Henderson cross-filed 
- Arthur Mann Sr ran as the sole Republican 
- Rios, Holmes, Henderson, Goodson and Desmond won the Democratic nominations 
- Henderson and Arthur Mann Sr won the Republican nomination","Candidate sponsored by MCC ""Dems for School Director of Lancaster""",CHERYL,,DESMOND,,SCHOOL DIRECTOR SCHOOL DISTRICT of LANCASTER,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/97.html"
CHRIS MISCIAGNA,SCHOOL DIRECTOR,COLUMBIA BOROUGH SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- 5 available spots for each party to proceed to the general election.
- 4 incumbents: all cross-filed.
- 6 newcomer candidates: 4 cross-filed, 1 republican, 1 democrat.
- Of 10 candidates, only 1 was knocked in primaries: Brittany Knighton, newcomer and democrat. All incumbents and others will proceed to the municipal election in November.
- Lauren VonStetten, Sandra Duncan, Sonya Duncan, Kathleen Hohenadel, Charles Leader, and Chris Misciagna are candidates of the MCC PAC ""Forward Tide United.""",,CHRIS,,MISCIAGNA,,SCHOOL DIRECTOR COLUMBIA,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/58.html"
CHRIS MISCIAGNA,SCHOOL DIRECTOR,COLUMBIA BOROUGH SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- 5 available spots for each party to proceed to the general election.
- 4 incumbents: all cross-filed.
- 6 newcomer candidates: 4 cross-filed, 1 republican, 1 democrat.
- Of 10 candidates, only 1 was knocked in primaries: Brittany Knighton, newcomer and democrat. All incumbents and others will proceed to the municipal election in November.
- Lauren VonStetten, Sandra Duncan, Sonya Duncan, Kathleen Hohenadel, Charles Leader, and Chris Misciagna are candidates of the MCC PAC ""Forward Tide United.""",,CHRIS,,MISCIAGNA,,SCHOOL DIRECTOR COLUMBIA,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/57.html"
CHRISTINA PARSONS,JUDGE OF THE COURT OF COMMON PLEAS,,,Municipal Primary,5,16,2023,REP,open_seat,records scanned,,,CHRISTINA,,PARSONS,,JUDGE OF THE COURT OF COMMON PLEAS,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/12.html"
CHRISTINE WILSON,MAGISTERIAL DISTRICT JUDGE,,02-01-02,Municipal Primary,5,16,2023,DEM/REP,open_seat,records scanned,,,CHRISTINE,,WILSON,,MAGISTERIAL DISTRICT JUDGE 02-1-02,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/30.html"
CHRISTINE WILSON,MAGISTERIAL DISTRICT JUDGE,,02-01-02,Municipal Primary,5,16,2023,DEM/REP,open_seat,records scanned,,,CHRISTINE,,WILSON,,MAGISTERIAL DISTRICT JUDGE 02-1-02,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/29.html"
