candidate_name_full,office,governing_district,seat,election_type,date_month,date_day,date_year,party,campaign_position,campaign_fin_records_request,race_notes,scan_notes,cand_name_first,cand_name_middle,cand_name_last,cand_name_suffix,Office_orig_name,Link
JERRY MECK,COUNCIL,LITITZ BOROUGH,3RD WARD,Municipal Primary,5,16,2023,DEM,open_seat,records scanned,,,JERRY,,MECK,,COUNCIL LITITZ - 3RD WARD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/159.html"
JESSE D HERSH,SUPERVISOR,EAST HEMPFIELD TOWNSHIP,,Municipal Primary,5,16,2023,REP,challenger,records scanned,,,JESSE,D,HERSH,,SUPERVISOR EAST HEMPFIELD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/318.html"
JILL BECK,JUDGE OF THE SUPERIOR COURT,,,Municipal Primary,5,16,2023,DEM,open_seat,requested and no records on file,,,JILL,,BECK,,JUDGE OF THE SUPERIOR COURT,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/7.html"
JIM KECK,SUPERVISOR,MANOR TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,JIM,,KECK,,SUPERVISOR MANOR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/368.html"
JOANNE PRICE,COUNCIL,COLUMBIA BOROUGH,,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,,,JOANNE,,PRICE,,COUNCIL COLUMBIA,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/126.html"
JOE STAUFFER,MAGISTERIAL DISTRICT JUDGE,,02-02-08,Municipal Primary,5,16,2023,DEM/REP,open_seat,records scanned,,,JOE,,STAUFFER,,MAGISTERIAL DISTRICT JUDGE 02-2-08,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/43.html"
JOE STAUFFER,MAGISTERIAL DISTRICT JUDGE,,02-02-08,Municipal Primary,5,16,2023,DEM/REP,open_seat,records scanned,,,JOE,,STAUFFER,,MAGISTERIAL DISTRICT JUDGE 02-2-08,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/44.html"
JOEL B KOSER,TAX COLLECTOR,MOUNT JOY BOROUGH,2-YR,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,JOEL,B,KOSER,,TAX COLLECTOR MT JOY - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/384.html"
JOELYN METZLER,SCHOOL DIRECTOR,OCTORARA AREA SCHOOL DISTRICT,REGION 2,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,"- One available seat,
- One candidate, Republican ",,JOELYN,,METZLER,,SCHOOL DIRECTOR OCTORARA REGION 2,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/86.html"
JOHN BENDER,MAGISTERIAL DISTRICT JUDGE,,02-02-02,Municipal Primary,5,16,2023,DEM,open_seat,records scanned,,,JOHN,,BENDER,,MAGISTERIAL DISTRICT JUDGE 02-2-02,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/33.html"
JOHN HURSH,COUNCIL,LANCASTER CITY,,Municipal Primary,5,16,2023,DEM,challenger,records scanned,,,JOHN,,HURSH,,COUNCIL LANCASTER CITY,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/109.html"
JOHN LENTZ,AUDITOR,RAPHO TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,JOHN,,LENTZ,,AUDITOR RAPHO,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/422.html"
JOHN M MAINA,MAGISTERIAL DISTRICT JUDGE,,02-03-03,Municipal Primary,5,16,2023,DEM,challenger,records scanned,,,JOHN,M,MAINA,,MAGISTERIAL DISTRICT JUDGE 02-3-03,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/49.html"
JOHN M TAYLOR,COUNCIL,NEW HOLLAND BOROUGH,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,JOHN,M,TAYLOR,,COUNCIL NEW HOLLAND,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/188.html"
JOHN RUDY,SUPERVISOR,WEST DONEGAL TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,JOHN,,RUDY,,SUPERVISOR WEST DONEGAL,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/252.html"
JOSEPH B EISENHAUER,SUPERVISOR,PENN TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,JOSEPH,B,EISENHAUER,,SUPERVISOR PENN,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/398.html"
JOSEPH D GOODY,SUPERVISOR,CONOY TOWNSHIP,,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,,,JOSEPH,D,GOODY,,SUPERVISOR CONOY,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/240.html"
JOSEPH LANE,COUNCIL,MILLERSVILLE BOROUGH,,Municipal Primary,5,16,2023,DEM,open_seat,records scanned,,,JOSEPH,,LANE,,COUNCIL MILLERSVILLE,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/171.html"
JOSEPH RZONCA,SCHOOL DIRECTOR,OCTORARA AREA SCHOOL DISTRICT,REGION 1,Municipal Primary,5,16,2023,DEM/REP,challenger,requested and no records on file,"- 5 Candidates for 3 available seats 
- 4 of the candidates cross filed, Sheena Scheffel only filed as a Republican 
- Karen A Williamson, Sheena Scheffel and Anthony Falgiatore won the Republican primary 
- Lisa Yelovich, and write-in candidates Sheena Scheffel and Brian Norris  won the Democratic primary
",,JOSEPH,,RZONCA,,SCHOOL DIRECTOR OCTORARA REGION 1,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/84.html"
JOSEPH RZONCA,SCHOOL DIRECTOR,OCTORARA AREA SCHOOL DISTRICT,REGION 1,Municipal Primary,5,16,2023,DEM/REP,challenger,requested and no records on file,"- 5 Candidates for 3 available seats 
- 4 of the candidates cross filed, Sheena Scheffel only filed as a Republican 
- Karen A Williamson, Sheena Scheffel and Anthony Falgiatore won the Republican primary 
- Lisa Yelovich, and write-in candidates Sheena Scheffel and Brian Norris  won the Democratic primary
",,JOSEPH,,RZONCA,,SCHOOL DIRECTOR OCTORARA REGION 1,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/83.html"
JOSH ALBERT,COUNCIL,MILLERSVILLE BOROUGH,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,JOSH,,ALBERT,,COUNCIL MILLERSVILLE,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/172.html"
JOSH PRINCE,JUDGE OF THE COMMONWEALTH COURT,,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,used PA judicial system website & Ballotpedia.,,JOSH,,PRINCE,,JUDGE OF THE COMMONWEALTH COURT,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/10.html"
JOSH STOUDT,COUNCIL,LITITZ BOROUGH,1ST WARD,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,JOSH,,STOUDT,,COUNCIL LITITZ - 1ST WARD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/156.html"
JOSHUA HUNTER,SCHOOL DIRECTOR,PENN MANOR SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- Five four-year seats available 
- 9 candidates running 
- 4 cross-filed, 5 filed only as Republicans 
- Fullerton, Jackson, Lombardo and Wert are incumbents 
- Noetzel, Guy, Bacon and Hunter are endorsed by the Democratic Party 
- Fullerton, Beakes, Jackson and Lombardo are endorsed by the Republican party",,JOSHUA,,HUNTER,,SCHOOL DIRECTOR PENN MANOR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/87.html"
JOSHUA HUNTER,SCHOOL DIRECTOR,PENN MANOR SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- Five four-year seats available 
- 9 candidates running 
- 4 cross-filed, 5 filed only as Republicans 
- Fullerton, Jackson, Lombardo and Wert are incumbents 
- Noetzel, Guy, Bacon and Hunter are endorsed by the Democratic Party 
- Fullerton, Wert, Beakes, Jackson and Lombardo are endorsed by the Republican party
- Wert, Fullerton, Beakes, Jackson and Lombardo won the Republican primary
- Guy, Noetzel, Bacon and Hunter won the Democratic primary",,JOSHUA,,HUNTER,,SCHOOL DIRECTOR PENN MANOR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/88.html"
JUDITH A KENNEDY,COUNCIL,MARIETTA BOROUGH,,Municipal Primary,5,16,2023,DEM,open_seat,requested and no records on file,,,JUDITH,A,KENNEDY,,COUNCIL MARIETTA,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/167.html"
JUDY L BRADY,SCHOOL DIRECTOR,HEMPFIELD SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,requested and no records on file,"- 5 available spots per party.
- 4 incumbents, 3 cross-filed and 1 running only in the Republican primary.
- 6 newcomer candidates, 5 cross-filed and 1 running only in the Democratic primary.
- Winners of the Dem primary: Megan L. Eshleman, Judy L. Brady, Erin L. Small, Kaleb Best, and Peter G. Langseth.
- Winners of the Rep primary: Justin Wolgemuth, Grant W. Keener, Patrick Wagner, Dylan T. Bard, and Fae Skuya.
- No candidate who cross-filed won both primaries. All incumbents will proceed to the municipal election in November.
- Hempfield's 2023 school board election is one of several in the county that has heated up due to Christian and alt-right ideology trickling into local school districts from national organizations.","Candidate sponsored by MCC ""Support Hempfield Schools""",JUDY,L,BRADY,,SCHOOL DIRECTOR HEMPFIELD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/74.html"
JUDY L BRADY,SCHOOL DIRECTOR,HEMPFIELD SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,requested and no records on file,"- 5 available spots per party.
- 4 incumbents, 3 cross-filed and 1 running only in the Republican primary.
- 6 newcomer candidates, 5 cross-filed and 1 running only in the Democratic primary.
- Winners of the Dem primary: Megan L. Eshleman, Judy L. Brady, Erin L. Small, Kaleb Best, and Peter G. Langseth.
- Winners of the Rep primary: Justin Wolgemuth, Grant W. Keener, Patrick Wagner, Dylan T. Bard, and Fae Skuya.
- No candidate who cross-filed won both primaries. All incumbents will proceed to the municipal election in November.
- Hempfield's 2023 school board election is one of several in the county that has heated up due to Christian and alt-right ideology trickling into local school districts from national organizations.","Candidate sponsored by MCC ""Support Hempfield Schools""",JUDY,L,BRADY,,SCHOOL DIRECTOR HEMPFIELD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/73.html"
JULIE FISHER,SCHOOL DIRECTOR,CONESTOGA VALLEY SCHOOL DISTRICT,,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,"- 5 available spots per party to proceed to the municipal election.
- 2 incumbents, both running in the Republican primary.
- 5 newcomer candidates, 3 running in the Republican primary and 2 running in the Democratic primary.
- All candidates will proceed to the municipal election in November.",,JULIE,,FISHER,,SCHOOL DIRECTOR CONESTOGA VALLEY,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/62.html"
JUSTIN COOK,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- Five four-year seats available 
- 13 total candidates,  8 cross-filed, 5 running as Republicans 
- 2 appointed incumbents, Scott F. Landis and Daniel C. Wooley 
- Chap, Walker de Ardon, Wingenroth and McMillion were all endorsed by the Democratic Party
- Breault, Brown, Landis Weaver and Wooley were endorsed by the Republican party 
- Regennas, Chap, Walker de Ardon, McMillion, Wingenroth won  the Democratic Primary 
- Woolley, Weaver, Brown, Landis and Breault won the Republican Primary
",,JUSTIN,,COOK,,SCHOOL DIRECTOR WARWICK,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/105.html"
JUSTIN COOK,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- Five four-year seats available 
- 13 total candidates,  8 cross-filed, 5 running as Republicans 
- 2 appointed incumbents, Scott F. Landis and Daniel C. Wooley 
- Chap, Walker de Ardon, Wingenroth and McMillion were all endorsed by the Democratic Party
- Breault, Brown, Landis Weaver and Wooley were endorsed by the Republican party 
- Regennas, Chap, Walker de Ardon, McMillion, Wingenroth won  the Democratic Primary 
- Woolley, Weaver, Brown, Landis and Breault won the Republican Primary
",,JUSTIN,,COOK,,SCHOOL DIRECTOR WARWICK,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/106.html"
KALEB BEST,SCHOOL DIRECTOR,HEMPFIELD SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- 5 available spots per party.
- 4 incumbents, 3 cross-filed and 1 running only in the Republican primary.
- 6 newcomer candidates, 5 cross-filed and 1 running only in the Democratic primary.
- Winners of the Dem primary: Megan L. Eshleman, Judy L. Brady, Erin L. Small, Kaleb Best, and Peter G. Langseth.
- Winners of the Rep primary: Justin Wolgemuth, Grant W. Keener, Patrick Wagner, Dylan T. Bard, and Fae Skuya.
- No candidate who cross-filed won both primaries. All incumbents will proceed to the municipal election in November.
- Hempfield's 2023 school board election is one of several in the county that has heated up due to Christian and alt-right ideology trickling into local school districts from national organizations.","Candidate sponsored by MCC ""Support Hempfield Schools""",KALEB,,BEST,,SCHOOL DIRECTOR HEMPFIELD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/74.html"
KALEB BEST,SCHOOL DIRECTOR,HEMPFIELD SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- 5 available spots per party.
- 4 incumbents, 3 cross-filed and 1 running only in the Republican primary.
- 6 newcomer candidates, 5 cross-filed and 1 running only in the Democratic primary.
- Winners of the Dem primary: Megan L. Eshleman, Judy L. Brady, Erin L. Small, Kaleb Best, and Peter G. Langseth.
- Winners of the Rep primary: Justin Wolgemuth, Grant W. Keener, Patrick Wagner, Dylan T. Bard, and Fae Skuya.
- No candidate who cross-filed won both primaries. All incumbents will proceed to the municipal election in November.
- Hempfield's 2023 school board election is one of several in the county that has heated up due to Christian and alt-right ideology trickling into local school districts from national organizations.","Candidate sponsored by MCC ""Support Hempfield Schools""",KALEB,,BEST,,SCHOOL DIRECTOR HEMPFIELD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/73.html"
KAREN A WILLIAMSON,SCHOOL DIRECTOR,OCTORARA AREA SCHOOL DISTRICT,REGION 1,Municipal Primary,5,16,2023,DEM/REP,challenger,requested and no records on file,"- 5 Candidates for 3 available seats
- 4 of the candidates cross filed, Sheena Scheffel only filed as a Republican
- Karen A Williamson, Sheena Scheffel and Anthony Falgiatore won the Republican primary
- Lisa Yelovich, and write-in candidates Sheena Scheffel and Brian Norris won the Democratic primary
",,KAREN,A,WILLIAMSON,,SCHOOL DIRECTOR OCTORARA REGION 1,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/84.html"
KAREN A WILLIAMSON,SCHOOL DIRECTOR,OCTORARA AREA SCHOOL DISTRICT,REGION 1,Municipal Primary,5,16,2023,DEM/REP,challenger,requested and no records on file,"- 5 Candidates for 3 available seats
- 4 of the candidates cross filed, Sheena Scheffel only filed as a Republican
- Karen A Williamson, Sheena Scheffel and Anthony Falgiatore won the Republican primary
- Lisa Yelovich, and write-in candidates Sheena Scheffel and Brian Norris won the Democratic primary
",,KAREN,A,WILLIAMSON,,SCHOOL DIRECTOR OCTORARA REGION 1,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/83.html"
KARIN LASZAKOVITS,SCHOOL DIRECTOR,ELIZABETHTOWN AREA SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM,challenger,records scanned,"'- 5 available spots per party to proceed to the municipal election in November.
- 1 incumbent, Karen Sweigart, cross-filed.
- 14 newcomer candidates, 4 running only in the Democratic primary, 2 running only in the Republican primary, and 8 cross-filed.
- Moore, Zhan, Fuddy, Laszakovitz, and Eichelberger won the Republican primary (in that order).
- Gilles, Carter, Riggelman, Shrum, and Wilson won the Democratic primary (in that order).
- No candidates won both party primaries, and incumbent Karen Sweigert was knocked from her seat.
- The Elizabethtown school board is one of many dealing with contentious alt-right ideology.","Candidate sponsored by MCC ""Support Etown Schools",KARIN,,LASZAKOVITS,,SCHOOL DIRECTOR ELIZABETHTOWN,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/67.html"
KARL SALISBURY,MAGISTERIAL DISTRICT JUDGE,,02-02-02,Municipal Primary,5,16,2023,DEM/REP,open_seat,records scanned,,,KARL,,SALISBURY,,MAGISTERIAL DISTRICT JUDGE 02-2-02,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/34.html"
KARL SALISBURY,MAGISTERIAL DISTRICT JUDGE,,02-02-02,Municipal Primary,5,16,2023,DEM/REP,open_seat,records scanned,,,KARL,,SALISBURY,,MAGISTERIAL DISTRICT JUDGE 02-2-02,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/33.html"
KATRINA TIMBERLAKE HOLMES,SCHOOL DIRECTOR,SCHOOL DISTRICT OF LANCASTER,,Municipal Primary,5,16,2023,DEM,challenger,records scanned,"- Five four-year seats are available 
- Five spots for each party 
- Robin Goodson, Kareena Rios and Molly Henderson are incumbents
- Goodson, Rios, Henderson, Holmes and Desmond are endorsed by the Democratic Party 
- Molly Henderson cross-filed 
- Arthur Mann Sr ran as the sole Republican 
- Rios, Holmes, Henderson, Goodson and Desmond won the Democratic nominations 
- Henderson and Arthur Mann Sr won the Republican nomination
","Candidate sponsored by MCC ""Dems for School Director of Lancaster""",KATRINA,TIMBERLAKE,HOLMES,,SCHOOL DIRECTOR SCHOOL DISTRICT of LANCASTER,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/97.html"
KEITH HATFIELD,COUNCIL,MANHEIM BOROUGH,2ND WARD,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,,,KEITH,,HATFIELD,,COUNCIL MANHEIM - 2ND WARD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/166.html"
KEITH R LANDIS,SUPERVISOR,PARADISE TOWNSHIP,2-YR,Municipal Primary,5,16,2023,REP,challenger,records scanned,,,KEITH,R,LANDIS,,SUPERVISOR PARADISE - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/390.html"
KELLIE MCADAMS,COUNCIL,MANHEIM BOROUGH,2ND WARD,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,,,KELLIE,,MCADAMS,,COUNCIL MANHEIM - 2ND WARD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/166.html"
KELLY A GUTSHALL,SUPERVISOR,WARWICK TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,KELLY,A,GUTSHALL,,SUPERVISOR WARWICK,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/444.html"
KELLY CARTER,SCHOOL DIRECTOR,ELIZABETHTOWN AREA SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"'- 5 available spots per party to proceed to the municipal election in November.
- 1 incumbent, Karen Sweigart, cross-filed.
- 14 newcomer candidates, 4 running only in the Democratic primary, 2 running only in the Republican primary, and 8 cross-filed.
- Moore, Zhan, Fuddy, Laszakovitz, and Eichelberger won the Republican primary (in that order).
- Gilles, Carter, Riggelman, Shrum, and Wilson won the Democratic primary (in that order).
- No candidates won both party primaries, and incumbent Karen Sweigert was knocked from her seat.
- The Elizabethtown school board is one of many dealing with contentious alt-right ideology.",,KELLY,,CARTER,,SCHOOL DIRECTOR ELIZABETHTOWN,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/68.html"
KELLY CARTER,SCHOOL DIRECTOR,ELIZABETHTOWN AREA SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"'- 5 available spots per party to proceed to the municipal election in November.
- 1 incumbent, Karen Sweigart, cross-filed.
- 14 newcomer candidates, 4 running only in the Democratic primary, 2 running only in the Republican primary, and 8 cross-filed.
- Moore, Zhan, Fuddy, Laszakovitz, and Eichelberger won the Republican primary (in that order).
- Gilles, Carter, Riggelman, Shrum, and Wilson won the Democratic primary (in that order).
- No candidates won both party primaries, and incumbent Karen Sweigert was knocked from her seat.
- The Elizabethtown school board is one of many dealing with contentious alt-right ideology.",,KELLY,,CARTER,,SCHOOL DIRECTOR ELIZABETHTOWN,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/67.html"
KELLY FUDDY,SCHOOL DIRECTOR,ELIZABETHTOWN AREA SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM,challenger,records scanned,"'- 5 available spots per party to proceed to the municipal election in November.
- 1 incumbent, Karen Sweigart, cross-filed.
- 14 newcomer candidates, 4 running only in the Democratic primary, 2 running only in the Republican primary, and 8 cross-filed.
- Moore, Zhan, Fuddy, Laszakovitz, and Eichelberger won the Republican primary (in that order).
- Gilles, Carter, Riggelman, Shrum, and Wilson won the Democratic primary (in that order).
- No candidates won both party primaries, and incumbent Karen Sweigert was knocked from her seat.
- The Elizabethtown school board is one of many dealing with contentious alt-right ideology.","lost in 2017. Candidate sponsored by MCC ""Support Etown Schools""",KELLY,,FUDDY,,SCHOOL DIRECTOR ELIZABETHTOWN,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/67.html"
KELLYE MCMILLION,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- Five four-year seats available 
- 13 candidates, 4 Republicans and 9 cross-filers 
- Kimberly Regennas, Amanda Chap, Lydia de Ardon, Kelleye McMillion and Cynthia Wingenroth win the Democratic primary
- 
","Candidate sponsored by MCC ""Support Warwick Schools""",KELLYE,,MCMILLION,,SCHOOL DIRECTOR WARWICK,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/105.html"
KELLYE MCMILLION,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- Five four-year seats available 
- 13 candidates, 4 Republicans and 9 cross-filers 
- Kimberly Regennas, Amanda Chap, Lydia de Ardon, Kelleye McMillion and Cynthia Wingenroth win the Democratic primary
- 
","Candidate sponsored by MCC ""Support Warwick Schools""",KELLYE,,MCMILLION,,SCHOOL DIRECTOR WARWICK,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/106.html"
KERRY GABLE,SCHOOL DIRECTOR,COCALICO SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,requested and no records on file,"- ""Of the six candidates running for five four-year school board seats on the Republican ballot in Cocalico School District, Pamela L.K. Blickle, Kevin Eshleman, Juanita Fox, Gary Hambright and Desiree Wagner claimed spots in the general election. Kerry Gable, a cross-filed Democrat, did not earn a Republican nomination but will appear on the November ballot as a Democrat."" LNP, May 2023
- 5 seats, 4 incumbents, 2 newcomers. All candidates will proceed to municipal elections due to Gable's crossfiling.",,KERRY,,GABLE,,SCHOOL DIRECTOR COCALICO,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/55.html"
KERRY GABLE,SCHOOL DIRECTOR,COCALICO SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,requested and no records on file,"- ""Of the six candidates running for five four-year school board seats on the Republican ballot in Cocalico School District, Pamela L.K. Blickle, Kevin Eshleman, Juanita Fox, Gary Hambright and Desiree Wagner claimed spots in the general election. Kerry Gable, a cross-filed Democrat, did not earn a Republican nomination but will appear on the November ballot as a Democrat."" LNP, May 2023
- 5 seats, 4 incumbents, 2 newcomers. All candidates will proceed to municipal elections due to Gable's crossfiling.",,KERRY,,GABLE,,SCHOOL DIRECTOR COCALICO,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/56.html"
KEVIN BOYER,SUPERVISOR,MARTIC TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,KEVIN,,BOYER,,SUPERVISOR MARTIC,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/372.html"
KIMBERLY REGENNAS,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- 13 candidates, 4 Republicans and 9 cross-filers 
- Kimberly Regennas, Scott Landis, and Bill Brault were all considered to replace Millard Eppig Jr after his resignation in 2022
- Landis was eventually appointed in 2022","Candidate sponsored by MCC ""Support Warwick Schools""",KIMBERLY,,REGENNAS,,SCHOOL DIRECTOR WARWICK,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/106.html"
KIMBERLY REGENNAS,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- 13 candidates, 5 Republicans and 8 cross-filers 
- Kimberly Regennas, Scott Landis, and Bill Brault were all considered to replace Millard Eppig Jr after his resignation in 2022
- Landis was eventually appointed in 2022","Candidate sponsored by MCC ""Support Warwick Schools""",KIMBERLY,,REGENNAS,,SCHOOL DIRECTOR WARWICK,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/105.html"
KIMBERLY RIGHTNOUR,SCHOOL DIRECTOR,COLUMBIA BOROUGH SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,requested and no records on file,"- 5 available spots for each party to proceed to the general election.
- 4 incumbents: all cross-filed.
- 6 newcomer candidates: 4 cross-filed, 1 republican, 1 democrat.
- Of 10 candidates, only 1 was knocked in primaries: Brittany Knighton, newcomer and democrat. All incumbents and others will proceed to the municipal election in November.
- Lauren VonStetten, Sandra Duncan, Sonya Duncan, Kathleen Hohenadel, Charles Leader, and Chris Misciagna are candidates of the MCC PAC ""Forward Tide United.""",,KIMBERLY,,RIGHTNOUR,,SCHOOL DIRECTOR COLUMBIA,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/58.html"
